Time,A0,A1,Pace,Phase
0.02,1012,1023,0,94.39
0.04,1014,1023,0,94.39
0.06,1017,1023,0,94.39
0.08,1009,1023,0,94.39
0.09999999,1015,1023,0,94.39
0.12,1013,1023,0,94.39
0.14,1013,1023,0,94.39
0.16,1011,1023,0,94.39
0.18,1013,1023,0,94.39
0.2,1011,1023,0,94.39
0.22,1014,1023,0,94.39
0.24,1014,1023,0,94.39
0.26,1013,1023,0,94.39
0.28,1016,1023,0,94.39
0.3,1018,1023,0,94.39
0.32,1014,1023,0,94.39
0.34,1014,1023,0,94.39
0.36,1012,1023,0,94.39
0.38,1013,1023,0,94.39
0.4,1011,1023,0,94.39
0.42,1015,1023,0,94.39
0.44,1014,1023,0,94.39
0.46,1012,1023,0,94.39
0.48,1015,1023,0,94.39
0.5,1015,1023,0,94.39
0.52,1014,1023,0,94.39
0.54,1009,1023,0,94.39
0.56,1012,1023,0,94.39
0.58,1016,1023,0,94.39
0.6,1016,1023,0,94.39
0.62,1019,1023,0,94.39
0.64,1014,1023,0,94.39
0.66,1014,1023,0,94.39
0.68,1015,1023,0,94.39
0.7,1014,1023,0,94.39
0.72,1006,1023,0,94.39
0.74,1015,1023,0,94.39
0.76,1014,1023,0,94.39
0.78,1015,1023,0,94.39
0.8,1014,1023,0,94.39
0.82,1016,1023,0,94.39
0.84,1014,1023,0,94.39
0.86,1009,1023,0,94.39
0.88,1015,1023,0,94.39
0.9,1009,1023,0,94.39
0.92,1014,1023,0,94.39
0.94,1015,1023,0,94.39
0.96,1013,1023,0,94.39
0.98,1014,1023,0,94.39
1,1018,1023,0,94.39
1.02,1014,1023,0,94.39
1.04,1015,1023,0,94.39
1.06,1015,1023,0,94.39
1.08,1014,1023,0,94.39
1.1,1012,1023,0,94.39
1.12,1014,1023,0,94.39
1.14,1012,1023,0,94.39
1.16,1015,1023,0,94.39
1.18,1018,1023,0,94.39
1.2,1014,1023,0,94.39
1.22,1015,1023,0,94.39
1.24,1016,1023,0,94.39
1.26,1015,1023,0,94.39
1.28,1015,1023,0,94.39
1.3,1015,1023,0,94.39
1.32,1015,1023,0,94.39
1.34,1015,1023,0,94.39
1.36,1015,1023,0,94.39
1.38,1014,1023,0,94.39
1.4,1015,1023,0,94.39
1.42,1015,1023,0,94.39
1.44,1014,1023,0,94.39
1.46,1017,1023,0,94.39
1.48,1015,1023,0,94.39
1.5,1016,1023,0,94.39
1.52,1016,1023,0,94.39
1.54,1017,1023,0,94.39
1.56,1016,1023,0,94.39
1.58,1008,1023,0,94.39
1.6,1016,1023,0,94.39
1.62,1016,1023,0,94.39
1.64,1015,1023,0,94.39
1.66,1014,1023,0,94.39
1.68,1015,1023,0,94.39
1.7,1015,1023,0,94.39
1.72,1014,1023,0,94.39
1.74,1015,1023,0,94.39
1.76,1015,1023,0,94.39
1.78,1015,1023,0,94.39
1.8,1011,1023,0,94.39
1.82,1014,1023,0,94.39
1.84,1016,1023,0,94.39
1.86,1014,1023,0,94.39
1.88,1015,1023,0,94.39
1.9,1010,1023,0,94.39
1.92,1014,1023,0,94.39
1.94,1016,1023,0,94.39
1.96,1016,1023,0,94.39
1.98,1019,1023,0,94.39
2,1016,1023,0,94.39
2.02,1019,1023,0,94.39
2.04,1020,1023,0,94.39
2.06,1020,1023,0,94.39
2.08,1022,1023,0,94.39
2.1,1016,1023,0,94.39
2.12,1018,1023,0,94.39
2.14,1023,1023,0,94.39
2.16,1023,1023,0,94.39
2.18,1023,1023,0,94.39
2.2,1023,1023,0,94.39
2.22,1023,1023,0,94.39
2.24,1023,1023,0,94.39
2.26,1023,1023,0,94.39
2.28,1023,1023,0,94.39
2.3,1023,1023,0,94.39
2.32,1023,1023,0,94.39
2.34,1023,1023,0,94.39
2.36,1023,1023,0,94.39
2.38,1023,1023,0,94.39
2.4,1023,1023,0,94.39
2.42,1023,1023,0,94.39
2.44,1023,1023,0,94.39
2.46,1023,1023,0,94.39
2.48,1023,1023,0,94.39
2.5,1023,1023,0,94.39
2.52,1023,1023,0,94.39
2.54,1023,1023,0,94.39
2.56,1023,1023,0,94.39
2.58,1023,1023,0,94.39
2.6,1023,1023,0,94.39
2.62,1023,1023,0,94.39
2.64,1023,1023,0,94.39
2.66,1023,1023,0,94.39
2.68,1023,1023,0,94.39
2.7,1023,1023,0,94.39
2.72,1023,1023,0,94.39
2.74,1023,1023,0,94.39
2.76,1023,1023,0,94.39
2.78,1023,1023,0,94.39
2.8,1023,1023,0,94.39
2.82,1023,1023,0,94.39
2.84,1023,1023,0,94.39
2.86,1023,1023,0,94.39
2.88,1023,1023,0,94.39
2.9,1023,1023,0,94.39
2.92,1023,1023,0,94.39
2.94,1023,1023,0,94.39
2.96,1023,1023,0,94.39
2.98,1023,1023,0,94.39
3,1023,1023,0,94.39
3.02,1023,1023,0,94.39
3.04,1023,1023,0,94.39
3.06,1023,1023,0,94.39
3.08,1023,1023,0,94.39
3.1,1023,1023,0,94.39
3.12,1023,1023,0,94.39
3.14,1023,1023,0,94.39
3.16,1023,1023,0,94.39
3.18,1023,1023,0,94.39
3.2,1023,1023,0,94.39
3.22,1023,1023,0,94.39
3.24,1023,1023,0,94.39
3.26,1023,1023,0,94.39
3.28,1023,1023,0,94.39
3.3,1023,1023,0,94.39
3.32,1023,1023,0,94.39
3.34,1023,1023,0,94.39
3.36,1023,1023,0,94.39
3.38,1023,1023,0,94.39
3.4,1023,1023,0,94.39
3.42,1023,1023,0,94.39
3.44,1023,1023,0,94.39
3.46,1023,1023,0,94.39
3.48,1023,1023,0,94.39
3.5,1023,1023,0,94.39
3.52,1023,1023,0,94.39
3.54,1023,1023,0,94.39
3.56,1023,1023,0,94.39
3.58,1023,1023,0,94.39
3.6,1023,1023,0,94.39
3.62,1023,1023,0,94.39
3.64,1023,1023,0,94.39
3.66,1023,1023,0,94.39
3.68,1023,1023,0,94.39
3.7,1023,1023,0,94.39
3.72,1023,1023,0,94.39
3.74,1023,1023,0,94.39
3.76,1023,1023,0,94.39
3.78,1023,1023,0,94.39
3.8,1023,1023,0,94.39
3.82,1023,1023,0,94.39
3.84,1023,1023,0,94.39
3.86,1023,1023,0,94.39
3.88,1023,1023,0,94.39
3.9,1023,1023,0,94.39
3.92,1022,1023,0,94.39
3.94,1022,1023,0,94.39
3.96,1021,1023,0,94.39
3.98,1022,1023,0,94.39
4,1019,1023,0,94.39
4.02,1020,1023,0,94.39
4.04,1012,1023,0,94.39
4.06,1021,1023,0,94.39
4.08,1022,1023,0,94.39
4.1,1018,1023,0,94.39
4.12,1018,1023,0,94.39
4.14,1018,1023,0,94.39
4.16,1021,1023,0,94.39
4.18,1020,1023,0,94.39
4.2,1016,1023,0,94.39
4.22,1018,1023,0,94.39
4.24,1018,1023,0,94.39
4.26,1016,1023,0,94.39
4.28,1018,1023,0,94.39
4.3,1014,1023,0,94.39
4.32,1017,1023,0,94.39
4.34,1018,1023,0,94.39
4.36,1019,1023,0,94.39
4.38,1019,1023,0,94.39
4.4,1017,1023,0,94.39
4.42,1019,1023,0,94.39
4.44,1020,1023,0,94.39
4.46,1019,1023,0,94.39
4.48,1013,1023,0,94.39
4.5,1018,1023,0,94.39
4.52,1018,1023,0,94.39
4.54,1012,1023,0,94.39
4.56,1021,1023,0,94.39
4.58,1019,1023,0,94.39
4.6,1018,1023,0,94.39
4.62,1018,1023,0,94.39
4.64,1015,1023,0,94.39
4.66,1014,1023,0,94.39
4.68,1017,1023,0,94.39
4.7,1019,1023,0,94.39
4.72,1018,1023,0,94.39
4.74,1016,1023,0,94.39
4.76,1020,1023,0,94.39
4.78,1020,1023,0,94.39
4.8,1022,1023,0,94.39
4.82,1018,1023,0,94.39
4.84,1019,1023,0,94.39
4.86,1020,1023,0,94.39
4.88,1021,1023,0,94.39
4.9,1022,1023,0,94.39
4.92,1012,1023,0,94.39
4.94,1021,1023,0,94.39
4.96,1020,1023,0,94.39
4.98,1020,1023,0,94.39
5,1019,1023,0,94.39
5.02,1019,1023,0,94.39
5.04,1021,1023,0,94.39
5.06,1020,1023,0,94.39
5.08,1022,1023,0,94.39
5.1,1020,1023,0,94.39
5.12,1022,1023,0,94.39
5.14,1022,1023,0,94.39
5.16,1022,1023,0,94.39
5.18,1021,1023,0,94.39
5.2,1021,1023,0,94.39
5.22,1021,1023,0,94.39
5.24,1021,1023,0,94.39
5.26,1023,1023,0,94.39
5.28,1019,1023,0,94.39
5.3,1022,1023,0,94.39
5.32,1022,1023,0,94.39
5.34,1022,1023,0,94.39
5.36,1023,1023,0,94.39
5.38,1023,1023,0,94.39
5.4,1023,1023,0,94.39
5.42,1023,1023,0,94.39
5.44,1023,1023,0,94.39
5.46,1023,1023,0,94.39
5.48,1023,1023,0,94.39
5.5,1021,1023,0,94.39
5.52,1023,1023,0,94.39
5.54,1023,1023,0,94.39
5.56,1023,1023,0,94.39
5.58,1023,1023,0,94.39
5.6,1023,1023,0,94.39
5.62,1023,1023,0,94.39
5.64,1023,1023,0,94.39
5.66,1023,1023,0,94.39
5.68,1023,1023,0,94.39
5.7,1023,1023,0,94.39
5.72,1023,1023,0,94.39
5.74,1023,1023,0,94.39
5.76,1023,1023,0,94.39
5.78,1023,1023,0,94.39
5.8,1023,1023,0,94.39
5.82,1023,1023,0,94.39
5.84,1023,1023,0,94.39
5.86,1023,1023,0,94.39
5.88,1023,1023,0,94.39
5.9,1023,1023,0,94.39
5.92,1023,1023,0,94.39
5.94,1022,1023,0,94.39
5.96,1023,1023,0,94.39
5.98,1023,1023,0,94.39
6,1023,1023,0,94.39
6.02,1023,1023,0,94.39
6.04,1023,1023,0,94.39
6.06,1015,1023,0,94.39
6.08,1021,1023,0,94.39
6.1,1022,1023,0,94.39
6.12,1021,1023,0,94.39
6.14,1017,1023,0,94.39
6.16,1018,1023,0,94.39
6.18,1018,1023,0,94.39
6.2,1017,1023,0,94.39
6.22,1016,1023,0,94.39
6.24,1010,1023,0,94.39
6.26,1014,1023,0,94.39
6.28,1005,1023,0,94.39
6.3,1011,1023,0,94.39
6.32,1011,1023,0,94.39
6.34,1007,1023,0,94.39
6.36,1009,1023,0,94.39
6.38,1007,1023,0,94.39
6.4,1006,1023,0,94.39
6.42,1001,1023,0,94.39
6.44,1003,1023,0,94.39
6.46,1002,1023,0,94.39
6.48,1002,1023,0,94.39
6.5,999,1023,0,94.39
6.52,998,1023,0,94.39
6.54,1002,1023,0,94.39
6.56,1001,1023,0,94.39
6.58,1001,1023,0,94.39
6.6,998,1023,0,94.39
6.62,998,1023,0,94.39
6.64,1001,1023,0,94.39
6.66,1001,1023,0,94.39
6.68,1001,1023,0,94.39
6.7,995,1023,0,94.39
6.72,997,1023,0,94.39
6.74,1000,1023,0,94.39
6.76,1002,1023,0,94.39
6.78,998,1023,0,94.39
6.8,1002,1023,0,94.39
6.82,1001,1023,0,94.39
6.84,1003,1023,0,94.39
6.86,1002,1023,0,94.39
6.88,1004,1023,0,94.39
6.9,1004,1023,0,94.39
6.92,1000,1023,0,94.39
6.94,1004,1023,0,94.39
6.96,1004,1023,0,94.39
6.98,1005,1023,0,94.39
7,1004,1023,0,94.39
7.02,1007,1023,0,94.39
7.04,1008,1023,0,94.39
7.06,1004,1023,0,94.39
7.08,1006,1023,0,94.39
7.1,1003,1023,0,94.39
7.12,998,1023,0,94.39
7.14,1004,1023,0,94.39
7.16,1006,1023,0,94.39
7.18,1008,1023,0,94.39
7.2,1005,1023,0,94.39
7.22,1006,1023,0,94.39
7.24,1006,1023,0,94.39
7.26,1006,1023,0,94.39
7.28,1005,1023,0,94.39
7.3,1005,1023,0,94.39
7.32,1007,1023,0,94.39
7.34,1003,1023,0,94.39
7.36,1006,1023,0,94.39
7.38,1004,1023,0,94.39
7.4,1006,1023,0,94.39
7.42,1005,1023,0,94.39
7.44,1007,1023,0,94.39
7.46,1007,1023,0,94.39
7.48,1006,1023,0,94.39
7.5,1009,1023,0,94.39
7.52,1009,1023,0,94.39
7.54,1006,1023,0,94.39
7.56,1006,1023,0,94.39
7.58,1010,1023,0,94.39
7.6,1007,1023,0,94.39
7.62,1007,1023,0,94.39
7.64,1008,1023,0,94.39
7.66,1008,1023,0,94.39
7.68,1000,1023,0,94.39
7.7,1011,1023,0,94.39
7.72,1011,1023,0,94.39
7.74,1011,1023,0,94.39
7.76,1011,1023,0,94.39
7.78,1011,1023,0,94.39
7.8,1012,1023,0,94.39
7.82,1012,1023,0,94.39
7.84,1013,1023,0,94.39
7.86,1014,1023,0,94.39
7.88,1012,1023,0,94.39
7.9,1013,1023,0,94.39
7.92,1013,1023,0,94.39
7.94,1013,1023,0,94.39
7.96,1007,1023,0,94.39
7.98,1012,1023,0,94.39
8,1015,1023,0,94.39
8.02,1016,1023,0,94.39
8.04,1012,1023,0,94.39
8.059999,1010,1023,0,94.39
8.08,1011,1023,0,94.39
8.099999,1013,1023,0,94.39
8.12,1012,1023,0,94.39
8.139999,1012,1023,0,94.39
8.16,1014,1023,0,94.39
8.179999,1014,1023,0,94.39
8.2,1013,1023,0,94.39
8.22,1013,1023,0,94.39
8.24,1010,1023,0,94.39
8.26,1014,1023,0,94.39
8.28,1014,1023,0,94.39
8.3,1012,1023,0,94.39
8.32,1013,1023,0,94.39
8.34,1011,1023,0,94.39
8.36,1013,1023,0,94.39
8.38,1013,1023,0,94.39
8.4,1012,1023,0,94.39
8.42,1015,1023,0,94.39
8.44,1014,1023,0,94.39
8.46,1012,1023,0,94.39
8.48,1010,1023,0,94.39
8.5,1015,1023,0,94.39
8.52,1013,1023,0,94.39
8.54,1010,1023,0,94.39
8.559999,1015,1023,0,94.39
8.58,1016,1023,0,94.39
8.599999,1013,1023,0,94.39
8.62,1016,1023,0,94.39
8.639999,1012,1023,0,94.39
8.66,1015,1023,0,94.39
8.679999,1013,1023,0,94.39
8.7,1013,1023,0,94.39
8.72,1018,1023,0,94.39
8.74,1015,1023,0,94.39
8.76,1016,1023,0,94.39
8.78,1016,1023,0,94.39
8.8,1015,1023,0,94.39
8.82,1007,1023,0,94.39
8.84,1013,1023,0,94.39
8.86,1012,1023,0,94.39
8.88,1015,1023,0,94.39
8.9,1015,1023,0,94.39
8.92,1014,1023,0,94.39
8.94,1015,1023,0,94.39
8.96,1015,1023,0,94.39
8.98,1015,1023,0,94.39
9,1010,1023,0,94.39
9.02,1013,1023,0,94.39
9.04,1014,1023,0,94.39
9.059999,1016,1023,0,94.39
9.08,1016,1023,0,94.39
