Time,A0,A1,Pace,Phase
0.02,0,0,0,0.6
0.04,0,0,0,0.6
0.06,0,0,0,0.6
0.08,0,0,0,0.6
0.09999999,0,0,0,0.6
0.12,0,0,0,0.6
0.14,0,0,0,0.6
0.16,0,0,0,0.6
0.18,0,0,0,0.6
0.2,0,0,0,0.6
0.22,0,0,0,0.6
0.24,0,0,0,0.6
0.26,0,0,0,0.6
0.28,0,0,0,0.6
0.3,0,0,0,0.6
0.32,0,0,0,0.6
0.34,0,0,0,0.6
0.36,0,0,0,0.6
0.38,0,0,0,0.6
0.4,0,0,0,0.6
0.42,0,0,0,0.6
0.44,0,0,0,0.6
0.46,0,0,0,0.6
0.48,0,0,0,0.6
0.5,0,0,0,0.6
0.52,0,0,0,0.6
0.54,0,0,0,0.6
0.56,0,0,0,0.6
0.58,0,0,0,0.6
0.6,0,0,0,0.6
0.62,0,0,0,0.6
0.64,0,0,0,0.6
0.66,0,0,0,0.6
0.68,0,0,0,0.6
0.7,0,0,0,0.6
0.72,0,0,0,0.6
0.74,0,0,0,0.6
0.76,0,0,0,0.6
0.78,0,0,0,0.6
0.8,0,0,0,0.6
0.82,0,0,0,0.6
0.84,0,0,0,0.6
0.86,0,0,0,0.6
0.88,0,0,0,0.6
0.9,0,0,0,0.6
0.92,0,0,0,0.6
0.94,0,0,0,0.6
0.96,0,0,0,0.6
0.98,0,0,0,0.6
1,0,0,0,0.6
1.02,0,0,0,0.6
1.04,0,0,0,0.6
1.06,0,0,0,0.6
1.08,0,0,0,0.6
1.1,0,0,0,0.6
1.12,0,0,0,0.6
1.14,0,0,0,0.6
1.16,0,0,0,0.6
1.18,0,0,0,0.6
1.2,0,0,0,0.6
1.22,0,0,0,0.6
1.24,0,0,0,0.6
1.26,0,0,0,0.6
1.28,0,0,0,0.6
1.3,0,0,0,0.6
1.32,0,0,0,0.6
1.34,0,0.05,0,0.6
1.36,0,0.14,0,0.6
1.38,0,0.37,0,0.6
1.4,0,0.62,0,0.6
1.42,0,0.76,0,0.6
1.44,0,0.91,0,0.6
1.46,0,1.25,0,0.48
1.48,0,1.62,0,0.43
1.5,0,1.79,0,0.42
1.52,0,2.1,0,0.4
1.54,0,2.24,0,0.4
1.56,0,2.49,0,0.4
1.58,0,2.7,0,0.4
1.6,0,2.87,0,0.4
1.62,0,2.93,0,0.4
1.64,0,3.03,0,0.46
1.66,0,3.07,0,0.48
1.68,0,3.13,0,0.49
1.7,0,3.14,0,0.5
1.72,0,3.15,0,0.5
1.74,0,3.14,0,0.5
1.76,0,3.11,0,0.5
1.78,0,3,0,0.5
1.8,0,2.94,0,0.5
1.82,0,2.78,0,0.5
1.84,0,2.67,0,0.5
1.86,0,2.34,0,0.5
1.88,0,2.19,0,0.5
1.9,0,1.93,0,0.5
1.92,0,1.8,0,0.5
1.94,0,1.56,0,0.5
1.96,0,1.43,0,0.5
1.98,0,1.24,0,0.5
2,0,1.14,0,0.5
2.02,0,0.98,0,0.51
2.04,0,0.88,0,0.55
2.06,0,0.7,0,0.58
2.08,0,0.57,0,0.58
2.1,0,0.37,0,0.59
2.12,0,0.13,0,0.59
2.14,0,0.04,0,0.59
2.16,0.01,0,0,0.59
2.18,0.05,0,0,0.6
2.2,0.13,0,0,0.6
2.22,0.18,0,0,0.6
2.24,0.29,0,0,0.6
2.26,0.37,0,0,0.6
2.28,0.56,0,0,0.6
2.3,0.69,0,0,0.6
2.32,0.84,0,0,0.6
2.34,0.94,0,0,0.6
2.36,1.16,0,0,0.51
2.38,1.25,0,0,0.5
2.4,1.46,0,0,0.5
2.42,1.68,0,0,0.5
2.44,1.78,0,0,0.5
2.46,1.9,0,0,0.5
2.48,2.13,0,0,0.5
2.5,2.27,0,0,0.5
2.52,2.48,0,0,0.5
2.54,2.69,0,0,0.5
2.56,2.87,0,0,0.5
2.58,3.04,0,0,0.5
2.6,3.12,0,0,0.5
2.62,3.24,0,0,0.5
2.64,3.31,0,0,0.5
2.66,3.37,0,0,0.5
2.68,3.41,0,0,0.5
2.7,3.44,0,0,0.5
2.72,3.46,0,0,0.5
2.74,3.46,0,0,0.5
2.76,3.44,0,0,0.5
2.78,3.37,0,0,0.5
2.8,3.32,0,0,0.5
2.82,3.17,0,0,0.5
2.84,3.07,0,0,0.5
2.86,2.78,0,0,0.5
2.88,2.62,0,0,0.5
2.9,2.12,0,0,0.5
2.92,1.88,0,0,0.5
2.94,1.42,0,0,0.5
2.96,1.17,0,0,0.5
2.98,0.66,0,0,0.54
3,0.42,0,0,0.56
3.02,0.04,0,0,0.58
3.04,0,0,0,0.58
3.06,0,0,0,0.59
3.08,0,0,0,0.59
3.1,0,0,0,0.59
3.12,0,0,0,0.59
3.14,0,0,0,0.59
3.16,0,0,0,0.59
3.18,0,0,0,0.59
3.2,0,0,0,0.59
3.22,0,0,0,0.59
3.24,0,0,0,0.59
3.26,0,0,0,0.59
3.28,0,0,0,0.59
3.3,0,0,0,0.59
3.32,0,0,0,0.59
3.34,0,0,0,0.59
3.36,0,0,0,0.59
3.38,0,0,0,0.59
3.4,0,0,0,0.59
3.42,0,0,0,0.59
3.44,0,0,0,0.59
3.46,0,0,0,0.59
3.48,0,0,0,0.59
3.5,0,0,0,0.59
3.52,0,0,0,0.59
3.54,0,0,0,0.59
3.56,0,0,0,0.59
3.58,0,0,0,0.59
3.6,0,0,0,0.59
3.62,0,0,0,0.59
3.64,0,0,0,0.59
3.66,0,0,0,0.59
3.68,0,0,0,0.59
3.7,0,0,0,0.59
3.72,0,0,0,0.59
3.74,0,0,0,0.59
3.76,0,0,0,0.59
3.78,0,0,0,0.59
3.8,0,0,0,0.59
3.82,0,0,0,0.59
3.84,0,0,0,0.59
3.86,0,0,0,0.59
3.88,0,0,0,0.59
3.9,0,0,0,0.59
3.92,0,0,0,0.59
3.94,0,0,0,0.59
3.96,0,0,0,0.59
3.98,0,0,0,0.59
4,0,0,0,0.59
4.02,0,0,0,0.59
4.04,0,0,0,0.59
4.06,0,0,0,0.59
4.08,0,0,0,0.59
4.1,0,0,0,0.59
4.12,0,0,0,0.59
4.14,0,0,0,0.59
4.16,0,0,0,0.59
4.18,0,0,0,0.59
4.2,0,0,0,0.59
4.22,0,0,0,0.59
4.24,0,0,0,0.59
4.26,0,0,0,0.59
4.28,0,0,0,0.59
4.3,0,0,0,0.59
4.32,0,0,0,0.59
4.34,0,0,0,0.59
4.36,0,0,0,0.59
4.38,0,0,0,0.59
4.4,0,0,0,0.59
4.42,0,0,0,0.59
4.44,0,0,0,0.59
4.46,0,0,0,0.59
4.48,0,0,0,0.59
4.5,0,0,0,0.59
4.52,0,0,0,0.59
4.54,0,0,0,0.59
4.56,0,0,0,0.59
4.58,0,0,0,0.59
4.6,0,0,0,0.59
4.62,0,0,0,0.59
4.64,0,0,0,0.59
4.66,0,0,0,0.59
4.68,0,0,0,0.59
4.7,0,0,0,0.59
4.72,0,0,0,0.59
4.74,0,0,0,0.59
4.76,0,0,0,0.59
4.78,0,0,0,0.59
4.8,0,0,0,0.59
4.82,0,0,0,0.59
4.84,0,0,0,0.59
4.86,0,0,0,0.59
4.88,0,0,0,0.59
4.9,0,0,0,0.59
4.92,0,0,0,0.59
4.94,0,0,0,0.59
4.96,0,0,0,0.59
4.98,0,0,0,0.59
5,0,0,0,0.59
5.02,0,0,0,0.59
5.04,0,0,0,0.59
5.06,0,0,0,0.59
5.08,0,0,0,0.59
5.1,0,0,0,0.59
5.12,0,0,0,0.59
5.14,0,0,0,0.59
5.16,0,0,0,0.59
5.18,0,0,0,0.59
5.2,0,0,0,0.59
5.22,0,0,0,0.59
5.24,0,0,0,0.59
5.26,0,0,0,0.59
5.28,0,0,0,0.59
5.3,0,0,0,0.59
5.32,0,0,0,0.59
5.34,0,0,0,0.59
5.36,0,0,0,0.59
5.38,0,0,0,0.59
5.4,0,0,0,0.59
5.42,0,0,0,0.59
5.44,0,0,0,0.59
5.46,0,0,0,0.59
5.48,0,0,0,0.59
5.5,0,0,0,0.59
5.52,0,0,0,0.59
5.54,0,0,0,0.59
5.56,0,0,0,0.59
5.58,0,0,0,0.59
5.6,0,0,0,0.59
5.62,0,0,0,0.59
5.64,0,0,0,0.59
5.66,0,0,0,0.59
5.68,0,0,0,0.59
5.7,0,0,0,0.59
5.72,0,0,0,0.59
5.74,0,0,0,0.59
5.76,0,0,0,0.59
5.78,0,0,0,0.59
5.8,0,0,0,0.59
5.82,0,0,0,0.59
5.84,0,0,0,0.59
5.86,0,0,0,0.59
5.88,0,0,0,0.59
5.9,0,0,0,0.59
5.92,0,0,0,0.59
5.94,0,0,0,0.59
5.96,0,0,0,0.59
5.98,0,0,0,0.59
6,0,0,0,0.59
6.02,0,0,0,0.59
6.04,0,0,0,0.59
6.06,0,0,0,0.59
6.08,0,0,0,0.59
6.1,0,0,0,0.59
6.12,0,0,0,0.59
6.14,0,0,0,0.59
6.16,0,0,0,0.59
6.18,0,0,0,0.59
6.2,0,0,0,0.59
6.22,0,0,0,0.59
6.24,0,0,0,0.59
6.26,0,0,0,0.59
6.28,0,0,0,0.59
6.3,0,0,0,0.59
6.32,0,0,0,0.59
6.34,0,0,0,0.59
6.36,0,0,0,0.59
6.38,0,0,0,0.59
6.4,0,0,0,0.59
