Time,A0,A1,Pace,Phase
0.02,11.32,0,0,0.6
0.04,13.14,0,0,0.6
0.06,13.24,0,0,0.6
0.08,13.3,0,0,0.6
0.09999999,13.32,0,0,0.6
0.12,13.38,0,0,0.6
0.14,13.4,0,0,0.6
0.16,13.42,0,0,0.6
0.18,13.44,0,0,0.6
0.2,13.46,0,0,0.6
0.22,13.5,0,0,0.6
0.24,13.52,0,0,0.6
0.26,13.54,0,0,0.6
0.28,13.56,0,0,0.6
0.3,13.58,0,0,0.6
0.32,13.6,0,0,0.6
0.34,13.62,0,0,0.6
0.36,13.64,0,0,0.6
0.38,13.66,0,0,0.6
0.4,13.68,0,0,0.6
0.42,13.7,0,0,0.6
0.44,13.72,0,0,0.6
0.46,13.74,0,0,0.6
0.48,13.76,0,0,0.6
0.5,13.78,0,0,0.6
0.52,13.8,0,0,0.6
0.54,13.82,0,0,0.6
0.56,13.84,0,0,0.6
0.58,13.86,0,0,0.6
0.6,13.88,0,0,0.6
0.62,13.9,0,0,0.6
0.64,13.92,0,0,0.6
0.66,13.94,0,0,0.6
0.68,13.96,0,0,0.6
0.7,13.98,0,0,0.6
0.72,14,0,0,0.6
0.74,14.02,0,0,0.6
0.76,14.04,0,0,0.6
0.78,14.06,0,0,0.6
0.8,14.08,0,0,0.6
0.82,14.1,0,0,0.6
0.84,14.12,0,0,0.6
0.86,14.14,0,0,0.6
0.88,14.16,0,0,0.6
0.9,14.18,0,0,0.6
0.92,14.2,0,0,0.6
0.94,14.22,0,0,0.6
0.96,14.24,0,0,0.6
0.98,14.26,0,0,0.6
1,14.28,0,0,0.6
1.02,14.3,0,0,0.6
1.04,14.32,0,0,0.6
1.06,14.34,0,0,0.6
1.08,14.36,0,0,0.6
1.1,14.38,0,0,0.6
1.12,14.4,0,0,0.6
1.14,14.42,0,0,0.6
1.16,14.44,0.05,0,0.6
1.18,14.46,0.33,0,0.6
1.2,14.48,0.64,0,0.6
1.22,14.5,1.04,-0.06,0.59
1.24,14.52,1.46,-0.01,0.52
1.26,14.54,1.93,0.01,0.47
1.28,14.56,2.43,0.03,0.45
1.3,14.58,3.05,0.04,0.43
1.32,14.6,3.48,0.05,0.42
1.34,14.62,3.87,0.05,0.41
1.36,14.64,4.19,0.05,0.41
1.38,14.66,4.41,0.06,0.41
1.4,14.68,4.56,0.06,0.41
1.42,14.72,4.7,0.06,0.41
1.44,14.74,4.7,0.11,0.43
1.46,14.76,4.62,0.09,0.46
1.48,14.78,4.43,0.08,0.48
1.5,14.8,4.14,0.07,0.49
1.52,14.82,3.77,0.07,0.49
1.54,14.84,3.37,0.07,0.5
1.56,14.88,2.59,0.06,0.5
1.58,14.9,2.14,0.06,0.51
1.6,14.92,1.83,0.06,0.51
1.62,14.94,1.5,0.06,0.51
1.64,14.96,1.15,0.06,0.51
1.66,14.98,0.82,0.1,0.53
