Time,A0,A1,Pace,Phase
0.02,1023,1023,0,0.6
0.04,1023,1023,0,0.6
0.06,1023,1023,0,0.6
0.08,1023,1023,0,0.6
0.09999999,1023,1023,0,0.6
0.12,1023,1023,0,0.6
0.14,1023,1023,0,0.6
0.16,1023,1023,0,0.6
0.18,1023,1023,0,0.6
0.2,1023,1023,0,0.6
0.22,1023,1023,0,0.6
0.24,1023,1023,0,0.6
0.26,1023,1023,0,0.6
0.28,1023,1023,0,0.6
0.3,1023,1023,0,0.6
0.32,1023,1023,0,0.6
0.34,1023,1023,0,0.6
0.36,1023,1023,0,0.6
0.38,1023,1023,0,0.6
0.4,1023,1023,0,0.6
0.42,1023,1023,0,0.6
0.44,1023,1023,0,0.6
0.46,1023,1023,0,0.6
0.48,1023,1023,0,0.6
0.5,1023,1023,0,0.6
0.52,1023,1023,0,0.6
0.54,1023,1023,0,0.6
0.56,1023,1023,0,0.6
0.58,1023,1023,0,0.6
0.6,1023,1023,0,0.6
0.62,1023,1023,0,0.6
0.64,1023,1023,0,0.6
0.66,1023,1023,0,0.6
0.68,1023,1023,0,0.6
0.7,1023,1023,0,0.6
0.72,1023,1023,0,0.6
0.74,1023,1023,0,0.6
0.76,1023,1023,0,0.6
0.78,1023,1023,0,0.6
0.8,1023,1023,0,0.6
0.82,1023,1023,0,0.6
0.84,1023,1023,0,0.6
0.86,1023,1023,0,0.6
0.88,1023,1023,0,0.6
0.9,1023,1023,0,0.6
0.92,1023,1023,0,0.6
0.94,1023,1023,0,0.6
0.96,1023,1023,0,0.6
0.98,1023,1023,0,0.6
1,1023,1023,0,0.6
1.02,1023,1023,0,0.6
1.04,1023,1023,0,0.6
1.06,1023,1023,0,0.6
1.08,1023,1023,0,0.6
1.1,1023,1023,0,0.6
1.12,1023,1023,0,0.6
1.14,1023,1023,0,0.6
1.16,1023,1023,0,0.6
1.18,1023,1023,0,0.6
1.2,1023,1023,0,0.6
1.22,1023,1023,0,0.6
1.24,1023,1023,0,0.6
1.26,1023,1023,0,0.6
1.28,1023,1023,0,0.6
1.3,1023,1023,0,0.6
1.32,1023,1023,0,0.6
1.34,1023,1023,0,0.6
1.36,1023,1023,0,0.6
1.38,1023,1023,0,0.6
1.4,1023,1023,0,0.6
1.42,1023,1023,0,0.6
1.44,1023,1023,0,0.6
1.46,1023,1023,0,0.6
1.48,1023,1023,0,0.6
1.5,1023,1023,0,0.6
1.52,1023,1023,0,0.6
1.54,1023,1023,0,0.6
1.56,1023,1023,0,0.6
1.58,1023,1023,0,0.6
1.6,1023,1023,0,0.6
1.62,1023,1023,0,0.6
1.64,1023,1023,0,0.6
1.66,1023,1023,0,0.6
1.68,1023,1023,0,0.6
1.7,1023,1023,0,0.6
1.72,1023,1023,0,0.6
1.74,1023,1023,0,0.6
1.76,1023,1023,0,0.6
1.78,1023,1023,0,0.6
1.8,1023,1023,0,0.6
1.82,1023,1023,0,0.6
1.84,1023,1023,0,0.6
1.86,1023,1023,0,0.6
1.88,1023,1023,0,0.6
1.9,1023,1023,0,0.6
1.92,1023,1023,0,0.6
1.94,1023,1023,0,0.6
1.96,1023,1023,0,0.6
1.98,1023,1023,0,0.6
2,1023,1023,0,0.6
2.02,1023,1023,0,0.6
2.04,1023,1023,0,0.6
2.06,1023,1023,0,0.6
2.08,1023,1023,0,0.6
2.1,1023,1023,0,0.6
2.12,1023,1023,0,0.6
2.14,1023,1023,0,0.6
2.16,1023,1023,0,0.6
2.18,1023,1023,0,0.6
2.2,1023,1023,0,0.6
2.22,1023,1023,0,0.6
2.24,1023,1023,0,0.6
2.26,1023,1023,0,0.6
2.28,1023,1023,0,0.6
2.3,1023,993,0,0.6
2.32,1023,950,0,0.6
2.34,1023,910,-0.14,0.54
2.36,1023,866,-0.05,0.49
2.38,1023,821,0,0.45
2.4,1023,776,0.03,0.44
2.42,1023,732,0.05,0.42
2.44,1023,683,0.06,0.42
2.46,1023,637,0.06,0.41
2.48,1023,586,0.07,0.41
2.5,1023,536,0.07,0.41
2.52,1023,465,0.07,0.41
2.54,1023,420,0.07,0.41
2.56,1023,377,0.07,0.41
2.58,1023,349,0.07,0.41
2.6,1023,332,0.07,0.41
2.62,1023,326,0.08,0.41
2.64,1023,328,0.08,0.41
2.66,1023,348,0.08,0.41
2.68,1023,387,0.08,0.42
2.7,1023,453,0.08,0.42
2.72,1023,555,0.08,0.42
2.74,1023,656,0.08,0.42
2.76,1023,779,0.08,0.42
2.78,1018,889,0.08,0.42
2.8,994,985,0.23,0.45
2.82,950,1023,0.17,0.49
2.84,899,1023,-0.07,0.46
2.86,838,1023,-0.01,0.42
2.88,760,1023,0.02,0.4
2.9,666,1023,0.05,0.38
2.92,568,1023,0.06,0.38
2.94,454,1023,0.07,0.37
2.96,365,1023,0.07,0.37
2.98,294,1023,0.08,0.37
3,240,1023,0.08,0.37
3.02,202,1023,0.08,0.37
3.04,185,1023,0.08,0.37
3.06,190,1023,0.07,0.37
3.08,224,1023,0.08,0.38
3.1,284,1023,0.08,0.38
3.12,369,1023,0.08,0.38
3.14,468,1023,0.08,0.38
3.16,586,1023,0.08,0.38
3.18,687,1023,0.08,0.38
3.2,868,1023,0.08,0.39
3.22,944,1023,0.08,0.39
3.24,997,1023,0.2,0.44
3.26,1016,1023,0.15,0.48
3.28,1021,1023,0.12,0.5
3.3,1023,1023,0.1,0.51
3.32,1023,1023,0.09,0.52
3.34,1023,1023,0.08,0.53
3.36,1023,1023,0.08,0.53
3.38,1023,1023,0.07,0.53
3.4,1023,1023,0.07,0.54
3.42,1023,1023,0.07,0.54
3.44,1023,1023,0.07,0.54
3.46,1023,1023,0.07,0.54
3.48,1023,1023,0.07,0.54
3.5,1023,1023,0.07,0.54
3.52,1023,1023,0.07,0.55
3.54,1023,1023,0.07,0.55
3.56,1023,1023,0.07,0.55
3.58,1023,1023,0.07,0.55
3.6,1023,1023,0.07,0.55
3.62,1023,1023,0.07,0.55
3.64,1023,1023,0.07,0.55
3.66,1023,1023,0.07,0.56
3.68,1023,1023,0.07,0.56
3.7,1023,1023,0.07,0.56
3.72,1023,1023,0.07,0.56
3.74,1023,1023,0.05,0.56
3.76,1023,1008,0.03,0.56
3.78,1023,918,0.81,0.6
3.8,1023,798,0.74,0.66
3.82,1023,642,0.69,0.71
3.84,1023,473,0.66,0.74
3.86,1023,351,0.64,0.76
3.88,1023,274,0.63,0.78
3.9,1023,247,0.63,0.8
3.92,1023,269,0.76,0.81
3.94,1023,350,0.75,0.82
3.96,1023,492,0.74,0.83
3.98,1023,690,0.74,0.84
4,1023,870,0.74,0.85
4.02,1023,1008,0.79,0.86
4.04,1023,1023,0.79,0.87
4.06,1023,1023,0.8,0.89
4.08,1017,1023,0.8,0.9
4.1,973,1023,0.8,0.92
4.12,818,1023,0.81,0.98
4.14,617,1023,0.79,1.02
4.16,501,1023,0.78,1.04
