TestCount,Timestamp,Trial,LightOn,PlayerPositionZ,TargetPositionZ,DistanceDifference
1,2024-06-26 16:41:44,1,False,-0.0001726896,12,12.00017
1,2024-06-26 16:41:54,2,False,10.18957,12,1.810432
1,2024-06-26 16:42:00,3,False,10.30268,12,1.697319
1,2024-06-26 16:42:10,4,False,10.41638,12,1.583618
1,2024-06-26 16:42:16,5,False,10.60527,12,1.394733
1,2024-06-26 16:42:23,6,False,15.43542,12,-3.435418
1,2024-06-26 16:42:33,7,False,10.35387,12,1.646133
1,2024-06-26 16:42:38,8,False,10.74597,12,1.254026
2,2024-06-26 16:42:53,1,False,-4.217029E-05,20,20.00004
3,2024-06-26 16:43:12,1,False,-7.529557E-05,6,6.000075
3,2024-06-26 16:43:32,2,False,11.65902,6,-5.659022
3,2024-06-26 16:43:38,3,False,3.895816,6,2.104184
3,2024-06-26 16:43:45,4,False,10.10778,6,-4.107781
3,2024-06-26 16:43:56,5,False,4.358784,6,1.641216
3,2024-06-26 16:44:04,6,False,4.82543,6,1.17457
4,2024-06-26 16:44:30,1,False,-0.0001170933,50,50.00012
4,2024-06-26 16:44:44,2,False,62.6842,50,-12.6842
4,2024-06-26 16:44:51,3,False,52.37383,50,-2.373825
4,2024-06-26 16:45:01,4,False,44.0969,50,5.903095
4,2024-06-26 16:45:11,5,False,52.85744,50,-2.857441
5,2024-06-26 16:45:29,1,False,-7.18385E-05,15,15.00007
5,2024-06-26 16:45:39,2,False,20.07504,15,-5.075039
