Time,A0,A1,Pace,Phase
0.02,1023,1023,0,239.09
0.04,1023,1023,0,239.09
0.06,1023,1023,0,239.09
0.08,1023,1023,0,239.09
0.09999999,1023,1023,0,239.09
0.12,1023,1023,0,239.09
0.14,1023,1023,0,239.09
0.16,1023,1023,0,239.09
0.18,1023,1023,0,239.09
0.2,1023,1023,0,239.09
0.22,1023,1023,0,239.09
0.24,1023,1023,0,239.09
0.26,1023,1023,0,239.09
0.28,1023,1023,0,239.09
0.3,1023,1023,0,239.09
0.32,1023,1023,0,239.09
0.34,1023,1023,0,239.09
0.36,1023,1023,0,239.09
0.38,1023,1023,0,239.09
0.4,1023,1023,0,239.09
0.42,1023,1023,0,239.09
0.44,1023,1023,0,239.09
0.46,1023,1023,0,239.09
0.48,1023,1023,0,239.09
0.5,1023,1023,0,239.09
0.52,1023,1023,0,239.09
0.54,1023,1023,0,239.09
0.56,1023,1023,0,239.09
0.58,1023,1023,0,239.09
0.6,1023,1023,0,239.09
0.62,1023,1023,0,239.09
0.64,1023,1023,0,239.09
0.66,1023,1023,0,239.09
0.68,1023,1023,0,239.09
0.7,1023,1023,0,239.09
0.72,1023,1023,0,239.09
0.74,1023,1023,0,239.09
0.76,1023,1023,0,239.09
0.78,1023,1023,0,239.09
0.8,1023,1023,0,239.09
0.82,1023,1023,0,239.09
0.84,1023,1023,0,239.09
0.86,1023,1023,0,239.09
0.88,1023,1023,0,239.09
0.9,1023,1023,0,239.09
0.92,1023,1023,0,239.09
0.94,1023,1023,0,239.09
0.96,1023,1023,0,239.09
0.98,1023,1023,0,239.09
1,1023,1023,0,239.09
1.02,1023,1023,0,239.09
1.04,1023,1023,0,239.09
1.06,998,1023,0,239.09
1.08,923,1023,0.05,239.09
1.1,808,1023,0.05,239.09
1.12,685,1023,0.05,239.09
1.14,596,1023,0.05,239.09
1.16,541,1023,0.05,239.09
1.18,499,1023,0.05,239.09
1.2,497,1023,0.05,239.09
1.22,566,1023,0.1,239.13
1.24,703,1023,0.08,239.16
1.26,1008,1023,0.1,239.19
1.28,1023,1023,0.08,239.22
1.3,1023,1023,0.07,239.24
1.32,1023,1023,0.07,239.25
1.34,1023,1023,0.06,239.25
1.36,1023,1016,0.06,239.26
1.38,1023,911,0.06,239.26
1.4,1023,785,0.06,239.26
1.42,1023,648,0.05,239.27
1.44,1023,537,0.05,239.27
1.46,1023,444,0.05,239.27
1.48,1023,412,0.05,239.27
1.5,1023,406,0.05,239.27
1.52,1023,454,0.1,239.31
1.54,1023,635,0.08,239.34
1.56,1023,996,0.11,239.36
1.58,1023,1023,0.09,239.4
1.6,1023,1023,0.07,239.42
1.62,998,1023,0.07,239.43
1.64,924,1023,1.86,239.51
1.66,794,1023,1.76,239.7
1.68,664,1023,1.7,239.83
1.7,567,1023,1.66,239.91
1.72,490,1023,1.63,239.97
1.74,469,1023,1.62,240.01
1.76,473,1023,1.79,240.04
1.78,570,1023,1.79,240.08
1.8,814,1023,1.78,240.1
1.82,1023,1023,1.8,240.13
1.84,1023,1023,1.8,240.16
1.86,1023,1023,1.81,240.19
