TestCount,Timestamp,Trial,LightOn,PlayerPositionZ,TargetPositionZ,DistanceDifference
2,2024-06-26 16:11:30,1,False,-0.0004813075,20,20.00048
2,2024-06-26 16:12:26,2,False,10.46387,20,9.536127
3,2024-06-26 16:12:46,1,False,-3.874302E-05,6,6.000039
3,2024-06-26 16:13:06,2,False,8.065084,6,-2.065084
3,2024-06-26 16:13:14,3,False,8.016479,6,-2.016479
3,2024-06-26 16:13:26,4,False,2.238065,6,3.761935
3,2024-06-26 16:13:44,5,False,2.261768,6,3.738232
3,2024-06-26 16:13:50,6,False,2.691179,6,3.308821
3,2024-06-26 16:13:54,7,False,3.112673,6,2.887327
3,2024-06-26 16:14:04,8,False,7.377838,6,-1.377838
3,2024-06-26 16:14:11,9,False,7.346426,6,-1.346426
3,2024-06-26 16:14:16,10,False,7.157633,6,-1.157633
4,2024-06-26 16:14:40,1,False,-0.0001246333,50,50.00013
4,2024-06-26 16:15:10,2,False,57.95647,50,-7.95647
4,2024-06-26 16:15:20,3,False,44.96646,50,5.033543
5,2024-06-26 16:15:37,1,False,-6.626546E-05,15,15.00007
