Time,A0,A1,Pace,Phase
0.02,1023,1023,0,333.08
0.04,1023,1023,0,333.08
0.06,1023,1023,0,333.08
0.08,1023,1023,0,333.08
0.09999999,1023,1023,0,333.08
0.12,1023,1023,0,333.08
0.14,1023,1023,0,333.08
0.16,1023,1023,0,333.08
0.18,1023,1023,0,333.08
0.2,1023,1023,0,333.08
0.22,1023,1023,0,333.08
0.24,1023,1023,0,333.08
0.26,1023,1023,0,333.08
0.28,1023,1023,0,333.08
0.3,1023,1023,0,333.08
0.32,1023,1023,0,333.08
0.34,1023,1023,0,333.08
0.36,1023,1023,0,333.08
0.38,1023,1023,0,333.08
0.4,1023,1023,0,333.08
0.42,1023,1023,0,333.08
0.44,1023,1023,0,333.08
0.46,1023,1023,0,333.08
0.48,1023,1023,0,333.08
0.5,1023,1023,0,333.08
0.52,1023,1023,0,333.08
0.54,1023,1023,0,333.08
0.56,1023,1023,0,333.08
0.58,1023,1023,0,333.08
0.6,1023,1023,0,333.08
0.62,1023,1023,0,333.08
0.64,1023,1023,0,333.08
0.66,1023,1023,0,333.08
0.68,1023,1023,0,333.08
0.7,1023,1023,0,333.08
0.72,1023,1023,0,333.08
0.74,1023,1023,0,333.08
0.76,1023,1023,0,333.08
0.78,1023,1023,0,333.08
0.8,1020,1023,0,333.08
0.82,955,1023,0,333.08
0.84,835,1023,0.05,333.08
0.86,735,1023,0.05,333.08
0.88,656,1023,0.05,333.08
0.9,603,1023,0.05,333.08
0.92,580,1023,0.05,333.08
0.94,580,1023,0.05,333.08
0.96,607,1023,0.11,333.12
0.98,679,1023,0.09,333.16
1,857,1023,0.08,333.19
1.02,1023,1023,0.09,333.22
1.04,1023,966,0.08,333.24
1.06,1023,848,0.07,333.26
1.08,1023,719,0.06,333.27
1.1,1023,628,0.06,333.27
1.12,1023,590,0.06,333.28
1.14,1023,595,0.12,333.32
1.16,1023,653,0.1,333.36
1.18,994,797,0.08,333.39
1.2,865,1023,0.55,333.55
1.22,739,1023,0.45,333.72
1.24,634,1023,0.39,333.82
1.26,563,1023,0.35,333.89
1.28,526,1023,0.33,333.93
1.3,501,1023,0.32,333.96
1.32,540,1023,2.54,334.01
1.34,629,1023,2.52,334.07
1.36,859,1023,2.5,334.11
1.38,1023,958,2.76,334.16
1.4,1023,853,3.06,334.34
1.42,1023,725,3,334.47
1.44,1023,612,2.96,334.56
1.46,1023,555,2.94,334.63
1.48,1023,544,2.93,334.68
1.5,1023,582,2.81,334.73
1.52,1023,718,2.8,334.77
1.54,1023,1004,2.89,334.81
1.56,1018,1023,2.9,334.85
1.58,963,1023,2.9,334.9
1.6,837,1023,2.56,334.94
1.62,690,1023,2.57,334.98
1.64,585,1023,2.57,335.03
1.66,532,1023,2.57,335.08
1.68,499,1023,2.57,335.13
1.7,531,1023,2.59,335.18
1.72,631,1023,2.59,335.22
1.74,880,1023,2.59,335.28
1.76,1023,1023,2.64,335.33
1.78,1023,993,2.63,335.38
1.8,1023,899,2.45,335.42
1.82,1023,759,2.45,335.46
1.84,1023,614,2.45,335.5
1.86,1023,497,2.46,335.55
1.88,1023,452,2.46,335.6
1.9,1023,445,2.45,335.64
1.92,1023,508,2.4,335.69
1.94,1023,750,2.41,335.73
1.96,1002,1023,2.41,335.78
1.98,898,1023,2.55,335.83
2,754,1023,2.55,335.89
2.02,637,1023,2.55,335.94
2.04,564,1023,2.55,335.99
2.06,527,1023,2.55,336.04
2.08,496,1023,2.55,336.09
2.1,526,1023,2.56,336.15
2.12,597,1023,2.56,336.2
2.14,797,1009,2.56,336.25
2.16,1023,886,2.49,336.31
2.18,1023,736,2.49,336.37
2.2,1023,589,2.48,336.43
2.22,1023,465,2.48,336.48
2.24,1023,427,2.48,336.54
2.26,1023,434,2.78,336.59
2.28,1023,540,2.78,336.64
2.3,1023,815,2.78,336.7
2.32,1021,1023,2.8,336.75
2.34,956,1023,2.8,336.81
2.36,815,1023,2.74,336.88
2.38,666,1023,2.74,336.94
2.4,547,1023,2.73,337
2.42,462,1023,2.73,337.06
2.44,440,1023,2.73,337.12
2.46,449,1023,2.69,337.17
2.48,552,1023,2.69,337.22
2.5,816,1023,2.69,337.27
2.52,1023,946,2.7,337.32
2.54,1023,821,2.71,337.37
2.56,1023,652,2.71,337.43
2.58,1023,478,2.71,337.48
2.6,1023,383,2.71,337.53
2.62,1023,344,2.71,337.59
2.64,1023,353,2.7,337.64
2.66,1023,443,2.7,337.69
2.68,1023,765,2.7,337.75
2.7,1022,1023,2.62,337.8
2.72,939,1023,2.63,337.84
2.74,755,1023,2.64,337.88
2.76,582,1023,2.64,337.93
2.78,465,1023,2.64,337.98
2.8,436,1023,2.64,338.03
2.82,451,1023,2.82,338.09
2.84,594,1023,2.82,338.16
2.86,915,1023,2.81,338.22
2.88,1023,979,2.83,338.28
2.9,1023,856,2.75,338.35
2.92,1023,674,2.75,338.41
2.94,1023,462,2.75,338.47
2.96,1023,327,2.74,338.53
2.98,1023,251,2.74,338.59
3,1023,237,2.74,338.64
3.02,1023,297,2.66,338.69
3.04,1023,496,2.66,338.74
3.06,1023,999,2.69,338.79
3.08,972,1023,2.69,338.84
3.1,795,1023,2.74,338.89
3.12,581,1023,2.74,338.94
3.14,400,1023,2.74,339
3.16,290,1023,2.74,339.05
3.18,210,1023,2.74,339.1
3.2,154,1023,2.73,339.15
3.22,115,1023,2.72,339.19
3.24,105,1023,2.72,339.23
3.26,137,1023,2.28,339.26
3.28,270,1023,2.28,339.28
3.3,666,1023,2.28,339.3
3.32,1023,1023,2.22,339.33
3.34,1023,1023,2.21,339.35
3.36,1023,1023,2.21,339.37
3.38,1023,1023,2.21,339.4
3.4,1023,1023,2.21,339.42
3.42,1023,1023,2.21,339.44
3.44,1023,1023,2.21,339.47
3.46,1023,1023,2.21,339.49
3.48,1023,1023,2.21,339.51
3.5,1023,1023,2.21,339.53
3.52,1023,1023,2.21,339.56
3.54,1023,1023,2.21,339.58
3.56,1023,1023,2.2,339.6
3.58,1023,1023,2.2,339.61
3.6,1023,1023,2.19,339.61
3.62,1023,1023,2.19,339.62
