TestCount,Timestamp,Trial,LightOn,PlayerPositionZ,TargetPositionZ,DistanceDifference
1,2024-06-26 16:26:29,1,False,0.0001787543,12.06,12.05982
2,2024-06-26 16:26:51,1,False,2.56896E-05,20,19.99998
2,2024-06-26 16:26:59,2,False,13.02529,20,6.974708
2,2024-06-26 16:27:07,3,False,17.07939,20,2.92061
3,2024-06-26 16:27:20,1,False,2.008677E-05,6,5.99998
3,2024-06-26 16:27:28,2,False,3.723608,6,2.276392
4,2024-06-26 16:27:51,1,False,8.296967E-05,50,49.99992
4,2024-06-26 16:28:13,2,False,36.84402,50,13.15598
4,2024-06-26 16:28:22,3,False,43.64183,50,6.358166
4,2024-06-26 16:28:31,4,False,51.0525,50,-1.052498
4,2024-06-26 16:28:38,5,False,47.96319,50,2.036808
4,2024-06-26 16:28:44,6,False,51.06377,50,-1.06377
5,2024-06-26 16:28:58,1,False,2.810359E-05,15,14.99997
5,2024-06-26 16:29:03,2,False,9.829809,15,5.170191
5,2024-06-26 16:29:10,3,False,17.01747,15,-2.017473
