Time,A0,A1,Pace,Phase
0.02,1022,1023,0,211.83
0.04,1020,1023,0,211.83
0.06,1020,1023,0,211.83
0.08,1019,1023,0,211.83
0.09999999,1021,1023,0,211.83
0.12,1019,1023,0,211.83
0.14,1023,1023,0,211.83
0.16,1021,1023,0,211.83
0.18,1019,1023,0,211.83
0.2,1021,1023,0,211.83
0.22,1018,1023,0,211.83
0.24,1022,1023,0,211.83
0.26,1022,1023,0,211.83
0.28,1019,1023,0,211.83
0.3,1022,1023,0,211.83
0.32,1020,1023,0,211.83
0.34,1022,1023,0,211.83
0.36,1022,1023,0,211.83
0.38,1021,1023,0,211.83
0.4,1023,1023,0,211.83
0.42,1021,1023,0,211.83
0.44,1021,1023,0,211.83
0.46,1020,1023,0,211.83
0.48,1020,1023,0,211.83
0.5,1023,1023,0,211.83
0.52,1019,1023,0,211.83
0.54,1020,1023,0,211.83
0.56,1021,1023,0,211.83
0.58,1019,1023,0,211.83
0.6,1022,1023,0,211.83
0.62,1021,1023,0,211.83
0.64,1020,1023,0,211.83
0.66,1021,1023,0,211.83
0.68,1020,1023,0,211.83
0.7,1021,1023,0,211.83
0.72,1020,1023,0,211.83
0.74,1022,1023,0,211.83
0.76,1019,1023,0,211.83
0.78,1019,1023,0,211.83
0.8,1021,1023,0,211.83
0.82,1020,1023,0,211.83
0.84,1021,1023,0,211.83
0.86,1014,1023,0,211.83
0.88,1021,1023,0,211.83
0.9,1020,1023,0,211.83
0.92,1022,1023,0,211.83
0.94,1020,1023,0,211.83
0.96,1020,1023,0,211.83
0.98,1021,1023,0,211.83
1,1019,1023,0,211.83
1.02,1021,1023,0,211.83
1.04,1023,1023,0,211.83
1.06,1021,1023,0,211.83
1.08,1021,1023,0,211.83
1.1,1021,1023,0,211.83
1.12,1023,1023,0,211.83
1.14,1014,1023,0,211.83
1.16,1021,1023,0,211.83
1.18,1021,1023,0,211.83
1.2,1022,1023,0,211.83
1.22,1022,1023,0,211.83
1.24,1022,1023,0,211.83
1.26,1021,1023,0,211.83
1.28,1023,1023,0,211.83
1.3,1023,1023,0,211.83
1.32,1021,1023,0,211.83
1.34,1022,1023,0,211.83
1.36,1018,1023,0,211.83
1.38,1022,1023,0,211.83
1.4,1019,1023,0,211.83
1.42,1022,1023,0,211.83
1.44,1021,1023,0,211.83
1.46,1019,1023,0,211.83
1.48,1022,1023,0,211.83
1.5,1022,1023,0,211.83
1.52,1017,1023,0,211.83
1.54,1023,1023,0,211.83
1.56,1022,1023,0,211.83
1.58,1021,1023,0,211.83
1.6,1022,1023,0,211.83
1.62,1022,1023,0,211.83
1.64,1023,1023,0,211.83
1.66,1021,1023,0,211.83
1.68,1022,1023,0,211.83
1.7,1023,1023,0,211.83
1.72,1016,1023,0,211.83
1.74,1022,1023,0,211.83
1.76,1019,1023,0,211.83
1.78,1019,1023,0,211.83
1.8,1019,1023,0,211.83
1.82,1021,1023,0,211.83
1.84,1020,1023,0,211.83
1.86,1022,1023,0,211.83
1.88,1022,1023,0,211.83
1.9,1022,1023,0,211.83
1.92,1019,1023,0,211.83
