Time,A0,A1,Pace,Phase
0.02,1011,1023,0,41.08
0.04,1011,1023,0,41.08
0.06,1013,1023,0,41.08
0.08,1011,1023,0,41.08
0.09999999,1011,1023,0,41.08
0.12,1012,1023,0,41.08
0.14,1015,1023,0,41.08
0.16,1009,1023,0,41.08
0.18,1011,1023,0,41.08
0.2,1012,1023,0,41.08
0.22,1011,1023,0,41.08
0.24,1007,1023,0,41.08
0.26,1010,1023,0,41.08
0.28,1011,1023,0,41.08
0.3,1012,1023,0,41.08
0.32,1009,1023,0,41.08
0.34,1008,1023,0,41.08
0.36,1009,1023,0,41.08
0.38,1011,1023,0,41.08
0.4,1013,1023,0,41.08
0.42,1012,1023,0,41.08
0.44,1011,1023,0,41.08
0.46,1012,1023,0,41.08
0.48,1013,1023,0,41.08
0.5,1011,1023,0,41.08
0.52,1011,1023,0,41.08
0.54,1011,1023,0,41.08
0.56,1010,1023,0,41.08
0.58,1007,1023,0,41.08
0.6,1011,1023,0,41.08
0.62,1010,1023,0,41.08
0.64,1012,1023,0,41.08
0.66,1012,1023,0,41.08
0.68,1015,1023,0,41.08
0.7,1011,1023,0,41.08
0.72,1013,1023,0,41.08
0.74,1012,1023,0,41.08
0.76,1010,1023,0,41.08
0.78,1011,1023,0,41.08
0.8,1010,1023,0,41.08
0.82,1011,1023,0,41.08
0.84,1013,1023,0,41.08
0.86,1010,1023,0,41.08
0.88,1014,1023,0,41.08
0.9,1012,1023,0,41.08
0.92,1011,1023,0,41.08
0.94,1012,1023,0,41.08
0.96,1009,1023,0,41.08
0.98,1010,1023,0,41.08
1,1009,1023,0,41.08
1.02,1011,1023,0,41.08
1.04,1013,1023,0,41.08
1.06,1010,1023,0,41.08
1.08,1009,1023,0,41.08
1.1,1013,1023,0,41.08
1.12,1011,1023,0,41.08
1.14,1012,1023,0,41.08
1.16,1009,1023,0,41.08
1.18,1010,1023,0,41.08
1.2,1013,1023,0,41.08
1.22,1012,1023,0,41.08
1.24,1011,1023,0,41.08
1.26,1008,1023,0,41.08
1.28,1006,1023,0,41.08
1.3,1012,1023,0,41.08
1.32,1011,1023,0,41.08
1.34,1012,1023,0,41.08
1.36,1009,1023,0,41.08
1.38,1011,1023,0,41.08
1.4,1010,1023,0,41.08
1.42,1013,1023,0,41.08
1.44,1010,1023,0,41.08
1.46,1008,1023,0,41.08
1.48,1009,1023,0,41.08
1.5,1011,1023,0,41.08
1.52,1012,1023,0,41.08
1.54,1012,1023,0,41.08
1.56,1009,1023,0,41.08
1.58,1008,1023,0,41.08
1.6,1008,1023,0,41.08
1.62,1009,1023,0,41.08
1.64,1003,1023,0,41.08
1.66,1008,1023,0,41.08
1.68,1004,1023,0,41.08
1.7,1011,1023,0,41.08
1.72,1006,1023,0,41.08
1.74,1012,1023,0,41.08
1.76,1010,1023,0,41.08
1.78,1013,1023,0,41.08
1.8,1009,1023,0,41.08
1.82,1008,1023,0,41.08
1.84,1010,1023,0,41.08
1.86,1014,1023,0,41.08
1.88,1011,1023,0,41.08
1.9,1012,1023,0,41.08
1.92,1009,1023,0,41.08
1.94,1011,1023,0,41.08
1.96,1016,1023,0,41.08
1.98,1006,1023,0,41.08
2,1010,1023,0,41.08
2.02,1010,1023,0,41.08
2.04,1010,1023,0,41.08
2.06,1010,1023,0,41.08
2.08,1013,1023,0,41.08
2.1,1010,1023,0,41.08
2.12,1010,1023,0,41.08
2.14,1013,1023,0,41.08
2.16,1010,1023,0,41.08
2.18,1006,1023,0,41.08
2.2,1011,1023,0,41.08
2.22,1011,1023,0,41.08
2.24,1013,1023,0,41.08
2.26,1007,1023,0,41.08
2.28,1012,1023,0,41.08
2.3,1012,1023,0,41.08
2.32,1009,1023,0,41.08
2.34,1011,1023,0,41.08
2.36,1009,1023,0,41.08
2.38,1014,1023,0,41.08
2.4,1010,1023,0,41.08
2.42,1009,1023,0,41.08
2.44,1010,1023,0,41.08
2.46,1014,1023,0,41.08
