TestCount,Timestamp,Trial,LightOn,PlayerPositionZ,TargetPositionZ,DistanceDifference
1,2024-06-26 16:54:22,1,False,0.000442937,12,11.99956
1,2024-06-26 16:54:38,2,False,7.006614,12,4.993386
2,2024-06-26 16:54:59,1,False,-9.480119E-05,20,20.0001
2,2024-06-26 16:55:19,2,False,29.36158,20,-9.361576
2,2024-06-26 16:55:33,3,False,29.36158,20,-9.361576
2,2024-06-26 16:55:48,4,False,18.78493,20,1.215071
2,2024-06-26 16:55:54,5,False,18.79159,20,1.208406
2,2024-06-26 16:56:02,6,False,18.86965,20,1.13035
2,2024-06-26 16:56:12,7,False,18.88478,20,1.115223
2,2024-06-26 16:56:22,8,False,18.88872,20,1.111279
1,2024-06-26 17:01:37,1,False,-7.434189E-05,12,12.00007
1,2024-06-26 17:01:50,2,False,13.65896,12,-1.658958
1,2024-06-26 17:01:59,3,False,10.02467,12,1.975327
2,2024-06-26 17:02:14,1,False,-3.807247E-05,20,20.00004
2,2024-06-26 17:02:31,2,False,22.86417,20,-2.864172
3,2024-06-26 17:02:47,1,False,-5.921721E-05,6,6.000059
3,2024-06-26 17:02:58,2,False,7.358023,6,-1.358023
3,2024-06-26 17:03:03,3,False,7.249328,6,-1.249328
4,2024-06-26 17:03:18,1,False,-5.201995E-05,50,50.00005
4,2024-06-26 17:03:45,2,False,38.21302,50,11.78698
4,2024-06-26 17:03:55,3,False,47.59079,50,2.40921
