N,X,Y,Z
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 0,0,0,0
turn 1,0,0,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 0,0,0,0
turn 1,0,0,0
turn 2,0,0,0
turn 3,0,0,0
turn 4,0,0,0
turn 5,0,0,0
turn 6,0,0,0
turn 7,0,0,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 1,0,0,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 1,0,0,3
turn 2,6,0,4
turn 3,7,0,0
turn 4,5,0,-1
turn 5,4,0,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 1,0,0,1
turn 2,1,0,2
turn 3,1,0,1
turn 4,1,0,0
turn 5,0,0,0
turn 6,0,0,1
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 1,0,0,0
turn 2,1,0,0
turn 3,2,0,0
turn 4,2,0,-1
turn 5,1,0,-2
turn 6,0,0,-1
turn 7,0,0,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 1,0,0,0
turn 2,1,0,1
turn 3,2,0,0
turn 4,0,0,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 1,0,0,0
turn 2,0,0,0
turn 3,1,0,0
turn 4,1,0,-1
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 1,0,0,0
turn 2,0,0,0
turn 3,1,0,0
turn 4,2,0,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 1,0,0,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
turn 1,0,0,3
turn 2,3,0,4
turn 3,4,0,0
turn 4,0,0,-1
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
turn 1,0,0,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,8
point 3,8,-0.16,8
point 4,8,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,8
point 3,8,-0.16,8
point 4,8,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,8
point 3,8,-0.16,8
point 4,8,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,4
point 3,4,-0.16,4
point 4,4,-0.16,0
turn 1,0,0,6
turn 1,4,0,8
turn 2,6,0,9
turn 3,6,0,4
turn 4,4,0,3
