N,X,Y,Z
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 0,0,0,4
turn 1,0,0,4
turn 2,-1,0,5
turn 3,0,0,5
turn 4,0,0,5
turn 5,0,0,5
turn 6,0,0,5
turn 7,-1,0,4
turn 7,-2,0,10
turn 8,-2,0,11
turn 9,-3,0,11
turn 10,-2,0,12
turn 11,-2,0,11
turn 12,-2,0,10
turn 13,-3,0,11
turn 14,-3,0,11
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 1,0,0,0
turn 2,0,0,0
turn 3,0,0,0
turn 4,0,0,0
turn 5,0,0,0
point 1,0,-0.16,0
point 2,0,-0.16,20
point 3,20,-0.16,20
point 4,20,-0.16,0
turn 1,0,0,8
turn 2,3,0,9
turn 3,4,0,6
turn 4,0,0,5
turn 5,0,0,7
turn 6,2,0,8
