N,X,Y,Z
point 1,0,-0.16,0
point 2,0,-0.16,8
point 3,8,-0.16,8
point 4,8,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,8
point 3,8,-0.16,8
point 4,8,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,8
point 3,8,-0.16,8
point 4,8,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,8
point 3,8,-0.16,8
point 4,8,-0.16,0
point 1,0,-0.16,0
point 2,0,-0.16,8
point 3,8,-0.16,8
point 4,8,-0.16,0
point 1,0,-0.5,0
point 2,0,-0.5,8
point 3,8,-0.5,8
point 4,8,-0.5,0
turn 1,0,0,4
turn 2,0,0,4
turn 3,0,0,4
turn 4,0,0,4
point 1,0,-0.5,0
point 2,0,-0.5,8
point 3,8,-0.5,8
point 4,8,-0.5,0
