Time,A0,A1,Pace,Phase
0.02,0.09,0,0,193.02
0.04,0.07,0,0,193.02
0.06,0.08,0.01,0,193.02
0.08,0.09,0.01,0,193.02
0.09999999,0.07,0,0,193.02
0.12,0.07,0,0,193.02
0.14,0.07,0,0,193.02
0.16,0.06,0,0,193.02
0.18,0.08,0,0,193.02
0.2,0.07,0,0,193.02
0.22,0.08,0,0,193.02
0.24,0.07,0,0,193.02
0.26,0.09,0.01,0,193.02
0.28,0.08,0,0,193.02
0.3,0.09,0.01,0,193.02
0.32,0.09,0,0,193.02
0.34,0.08,0,0,193.02
0.36,0.09,0.01,0,193.02
0.38,0.08,0,0,193.02
0.4,0.08,0.01,0,193.02
0.42,0.08,0,0,193.02
0.44,0.07,0,0,193.02
0.46,0.09,0.02,0,193.02
0.48,0.07,0,0,193.02
0.5,0.09,0.01,0,193.02
0.52,0.07,0,0,193.02
0.54,0.08,0,0,193.02
0.56,0.07,0,0,193.02
0.58,0.07,0,0,193.02
0.6,0.07,0,0,193.02
0.62,0.07,0,0,193.02
0.64,0.07,0,0,193.02
0.66,0.07,0,0,193.02
0.68,0.07,0,0,193.02
0.7,0.07,0,0,193.02
0.72,0.08,0,0,193.02
0.74,0.07,0,0,193.02
0.76,0.08,0,0,193.02
0.78,0.06,0,0,193.02
0.8,0.07,0,0,193.02
0.82,0.07,0,0,193.02
0.84,0.07,0,0,193.02
0.86,0.08,0,0,193.02
0.88,0.07,0,0,193.02
0.9,0.07,0,0,193.02
0.92,0.07,0,0,193.02
0.94,0.09,0.01,0,193.02
0.96,0.08,0,0,193.02
0.98,0.07,0,0,193.02
1,0.09,0.01,0,193.02
1.02,0.09,0.01,0,193.02
1.04,0.08,0.01,0,193.02
1.06,0.07,0.01,0,193.02
1.08,0.07,0.01,0,193.02
1.1,0.1,0.01,0,193.02
1.12,0.1,0.02,0,193.02
1.14,0.09,0,0,193.02
1.16,0.08,0,0,193.02
1.18,0.07,0,0,193.02
1.2,0.08,0.01,0,193.02
1.22,0.08,0,0,193.02
1.24,0.07,0,0,193.02
1.26,0.08,0,0,193.02
1.28,0.07,0,0,193.02
1.3,0.07,0,0,193.02
1.32,0.07,0,0,193.02
1.34,0.08,0,0,193.02
1.36,0.07,0,0,193.02
1.38,0.06,0,0,193.02
1.4,0.09,0.02,0,193.02
1.42,0.08,0.01,0,193.02
1.44,0.09,0.01,0,193.02
1.46,0.07,0,0,193.02
1.48,0.07,0,0,193.02
1.5,0.07,0,0,193.02
1.52,0.08,0,0,193.02
1.54,0.07,0.01,0,193.02
1.56,0.07,0,0,193.02
1.58,0.08,0,0,193.02
1.6,0.07,0,0,193.02
1.62,0.07,0,0,193.02
1.64,0.09,0.01,0,193.02
1.66,0.09,0,0,193.02
1.68,0.07,0,0,193.02
1.7,0.07,0,0,193.02
1.72,0.08,0,0,193.02
1.74,0.08,0.01,0,193.02
1.76,0.07,0,0,193.02
1.78,0.07,0,0,193.02
1.8,0.07,0,0,193.02
1.82,0.07,0,0,193.02
1.84,0.1,0.01,0,193.02
1.86,0.08,0.01,0,193.02
1.88,0.07,0,0,193.02
1.9,0.06,0,0,193.02
1.92,0.07,0,0,193.02
1.94,0.07,0,0,193.02
1.96,0.07,0,0,193.02
1.98,0.08,0.01,0,193.02
2,0.08,0.01,0,193.02
2.02,0.08,0.01,0,193.02
2.04,0.11,0.02,0,193.02
2.06,0.09,0.01,0,193.02
2.08,0.07,0,0,193.02
2.1,0.07,0.01,0,193.02
2.12,0.08,0.01,0,193.02
2.14,0.09,0.02,0,193.02
2.16,0.09,0.01,0,193.02
2.18,0.09,0.02,0,193.02
2.2,0.09,0.01,0,193.02
2.22,0.07,0,0,193.02
2.24,0.1,0.01,0,193.02
2.26,0.07,0.01,0,193.02
2.28,0.07,0,0,193.02
2.3,0.08,0,0,193.02
