Time,A0,A1,Pace,Phase
0.02,0.09,0.01,0,73.46
0.04,0,0,0,73.46
0.06,0,0,0,73.46
0.08,0,0,0,73.46
0.09999999,0,0,0,73.46
0.12,0,0,0,73.46
0.14,0,0,0,73.46
0.16,0,0,0,73.46
0.18,0,0,0,73.46
0.2,0,0,0,73.46
0.22,0,0,0,73.46
0.24,0,0,0,73.46
0.26,0,0,0,73.46
0.28,0,0,0,73.46
0.3,0,0,0,73.46
0.32,0,0,0,73.46
0.34,0,0,0,73.46
0.36,0,0,0,73.46
0.38,0,0,0,73.46
0.4,0,0,0,73.46
0.42,0,0,0,73.46
0.44,0,0,0,73.46
0.46,0,0,0,73.46
0.48,0,0,0,73.46
0.5,0,0,0,73.46
0.52,0,0,0,73.46
0.54,0,0,0,73.46
0.56,0,0,0,73.46
0.58,0,0,0,73.46
0.6,0,0,0,73.46
0.62,0,0,0,73.46
0.64,0,0,0,73.46
0.66,0,0,0,73.46
0.68,0,0,0,73.46
0.7,0,0,0,73.46
0.72,0,0,0,73.46
0.74,0,0,0,73.46
0.76,0,0,0,73.46
0.78,0,0,0,73.46
0.8,0,0,0,73.46
0.82,0,0,0,73.46
0.84,0,0,0,73.46
0.86,0,0,0,73.46
0.88,0,0,0,73.46
0.9,0,0,0,73.46
0.92,0,0,0,73.46
0.94,0,0,0,73.46
0.96,0,0,0,73.46
0.98,0,0,0,73.46
1,0,0,0,73.46
1.02,0,0,0,73.46
1.04,0,0,0,73.46
1.06,0,0,0,73.46
1.08,0,0,0,73.46
1.1,0,0,0,73.46
1.12,0,0,0,73.46
1.14,0,0,0,73.46
1.16,0,0,0,73.46
1.18,0,0,0,73.46
1.2,0,0,0,73.46
1.22,0,0,0,73.46
1.24,0,0,0,73.46
1.26,0,0,0,73.46
1.28,0,0,0,73.46
1.3,0,0,0,73.46
1.32,0,0,0,73.46
1.34,0,0,0,73.46
1.36,0,0,0,73.46
1.38,0,0,0,73.46
1.4,0,0,0,73.46
1.42,0,0,0,73.46
1.44,0,0,0,73.46
1.46,0,0,0,73.46
1.48,0,0,0,73.46
1.5,0,0,0,73.46
1.52,0,0,0,73.46
1.54,0,0,0,73.46
1.56,0,0,0,73.46
1.58,0,0,0,73.46
1.6,0,0,0,73.46
1.62,0,0,0,73.46
1.64,0,0,0,73.46
1.66,0,0,0,73.46
1.68,0,0,0,73.46
1.7,0,0,0,73.46
1.72,0,0,0,73.46
1.74,0,0,0,73.46
1.76,0,0,0,73.46
1.78,0,0,0,73.46
1.8,0,0,0,73.46
1.82,0,0,0,73.46
1.84,0,0,0,73.46
1.86,0,0,0,73.46
1.88,0,0,0,73.46
1.9,0,0,0,73.46
1.92,0,0,0,73.46
1.94,0,0,0,73.46
1.96,0,0,0,73.46
1.98,0,0,0,73.46
2,0,0,0,73.46
2.02,0,0,0,73.46
2.04,0,0,0,73.46
2.06,0,0,0,73.46
2.08,0,0,0,73.46
2.1,0,0,0,73.46
2.12,0,0,0,73.46
2.14,0,0,0,73.46
2.16,0,0,0,73.46
2.18,0,0,0,73.46
2.2,0,0,0,73.46
2.22,0,0,0,73.46
2.24,0,0,0,73.46
2.26,0,0,0,73.46
2.28,0,0,0,73.46
2.3,0,0,0,73.46
2.32,0,0,0,73.46
2.34,0,0,0,73.46
2.36,0,0,0,73.46
2.38,0,0,0,73.46
2.4,0,0,0,73.46
2.42,0,0,0,73.46
2.44,0,0,0,73.46
2.46,0,0,0,73.46
2.48,0,0,0,73.46
2.5,0,0,0,73.46
2.52,0,0,0,73.46
2.54,0,0,0,73.46
2.56,0,0,0,73.46
2.58,0,0,0,73.46
2.6,0,0,0,73.46
2.62,0,0,0,73.46
2.64,0,0,0,73.46
2.66,0,0,0,73.46
2.68,0,0,0,73.46
2.7,0,0,0,73.46
2.72,0,0,0,73.46
2.74,0,0,0,73.46
2.76,0,0,0,73.46
2.78,0,0,0,73.46
2.8,0,0,0,73.46
2.82,0,0,0,73.46
2.84,0,0,0,73.46
2.86,0,0,0,73.46
2.88,0,0,0,73.46
2.9,0,0,0,73.46
2.92,0,0,0,73.46
2.94,0,0,0,73.46
2.96,0,0,0,73.46
2.98,0,0,0,73.46
3,0,0,0,73.46
3.02,0,0,0,73.46
3.04,0,0,0,73.46
3.06,0,0,0,73.46
3.08,0,0,0,73.46
3.1,0,0,0,73.46
3.12,0,0,0,73.46
3.14,0,0,0,73.46
3.16,0,0,0,73.46
3.18,0,0,0,73.46
3.2,0,0,0,73.46
3.22,0,0,0,73.46
3.24,0,0,0,73.46
3.26,0,0,0,73.46
3.28,0,0,0,73.46
3.3,0,0,0,73.46
3.32,0,0,0,73.46
3.34,0,0,0,73.46
3.36,0,0,0,73.46
3.38,0,0,0,73.46
3.4,0,0,0,73.46
3.42,0,0,0,73.46
3.44,0,0,0,73.46
3.46,0,0,0,73.46
3.48,0,0,0,73.46
3.5,0,0,0,73.46
3.52,0,0,0,73.46
3.54,0,0,0,73.46
3.56,0,0,0,73.46
3.58,0,0,0,73.46
3.6,0,0,0,73.46
3.62,0,0,0,73.46
3.64,0,0,0,73.46
3.66,0,0,0,73.46
3.68,0,0,0,73.46
3.7,0,0,0,73.46
3.72,0,0,0,73.46
3.74,0,0,0,73.46
3.76,0,0,0,73.46
3.78,0,0,0,73.46
3.8,0,0,0,73.46
3.82,0,0,0,73.46
3.84,0,0,0,73.46
3.86,0,0,0,73.46
3.88,0,0,0,73.46
3.9,0,0,0,73.46
3.92,0,0,0,73.46
3.94,0,0,0,73.46
3.96,0,0,0,73.46
3.98,0,0,0,73.46
4,0,0,0,73.46
4.02,0,0,0,73.46
4.04,0,0,0,73.46
4.06,0,0,0,73.46
4.08,0,0,0,73.46
4.1,0,0,0,73.46
4.12,0,0,0,73.46
4.14,0,0,0,73.46
4.16,0,0,0,73.46
4.18,0,0,0,73.46
4.2,0,0,0,73.46
4.22,0,0,0,73.46
4.24,0,0,0,73.46
4.26,0,0,0,73.46
4.28,0,0,0,73.46
4.3,0,0,0,73.46
4.32,0,0,0,73.46
4.34,0,0,0,73.46
4.36,0,0,0,73.46
4.38,0,0,0,73.46
4.4,0,0,0,73.46
4.42,0,0,0,73.46
4.44,0,0,0,73.46
4.46,0,0,0,73.46
4.48,0,0,0,73.46
4.5,0,0,0,73.46
4.52,0,0,0,73.46
4.54,0,0,0,73.46
4.56,0,0,0,73.46
4.58,0,0,0,73.46
4.6,0,0,0,73.46
4.62,0,0,0,73.46
4.64,0,0,0,73.46
4.66,0,0,0,73.46
4.68,0,0,0,73.46
4.7,0,0,0,73.46
4.72,0,0,0,73.46
4.74,0,0,0,73.46
4.76,0,0,0,73.46
4.78,0,0,0,73.46
4.8,0,0,0,73.46
4.82,0,0,0,73.46
4.84,0,0,0,73.46
4.86,0,0,0,73.46
4.88,0,0,0,73.46
4.9,0,0,0,73.46
4.92,0,0,0,73.46
4.94,0,0,0,73.46
4.96,0,0,0,73.46
4.98,0,0,0,73.46
5,0,0,0,73.46
5.02,0,0,0,73.46
5.04,0,0,0,73.46
5.06,0,0,0,73.46
5.08,0,0,0,73.46
5.1,0,0,0,73.46
5.12,0,0,0,73.46
5.14,0,0,0,73.46
5.16,0,0,0,73.46
5.18,0,0,0,73.46
5.2,0,0,0,73.46
5.22,0,0,0,73.46
5.24,0,0,0,73.46
5.26,0,0,0,73.46
5.28,0,0,0,73.46
5.3,0,0,0,73.46
5.32,0,0,0,73.46
5.34,0,0,0,73.46
5.36,0,0,0,73.46
5.38,0,0,0,73.46
5.4,0,0,0,73.46
5.42,0,0,0,73.46
5.44,0,0,0,73.46
5.46,0,0,0,73.46
5.48,0,0,0,73.46
5.5,0,0,0,73.46
5.52,0,0,0,73.46
5.54,0,0,0,73.46
5.56,0,0,0,73.46
5.58,0,0,0,73.46
5.6,0,0,0,73.46
5.62,0,0,0,73.46
5.64,0,0,0,73.46
5.66,0,0,0,73.46
5.68,0,0,0,73.46
5.7,0,0,0,73.46
5.72,0,0,0,73.46
5.74,0,0,0,73.46
5.76,0,0,0,73.46
5.78,0,0,0,73.46
5.8,0,0,0,73.46
