Time,A0,A1,Pace,Phase
0.02,1023,1023,0,152.35
0.04,1023,1023,0,152.35
0.06,1023,1023,0,152.35
0.08,1023,1023,0,152.35
0.09999999,1023,1023,0,152.35
0.12,1023,1023,0,152.35
0.14,1023,1023,0,152.35
0.16,1023,1023,0,152.35
0.18,1023,1023,0,152.35
0.2,1023,1023,0,152.35
0.22,1023,1023,0,152.35
0.24,1023,1023,0,152.35
0.26,1023,1023,0,152.35
0.28,1023,1023,0,152.35
0.3,1023,1023,0,152.35
0.32,1023,1023,0,152.35
0.34,1023,1023,0,152.35
0.36,1023,1023,0,152.35
0.38,1023,1023,0,152.35
0.4,1023,1023,0,152.35
0.42,1023,1023,0,152.35
0.44,1023,1023,0,152.35
0.46,1023,1023,0,152.35
0.48,1023,1023,0,152.35
0.5,1023,1023,0,152.35
0.52,1023,1023,0,152.35
0.54,1023,1023,0,152.35
0.56,1023,1023,0,152.35
0.58,1023,1023,0,152.35
0.6,1023,1023,0,152.35
0.62,1023,1023,0,152.35
0.64,1023,1023,0,152.35
0.66,1023,1023,0,152.35
0.68,1023,1023,0,152.35
0.7,1023,1023,0,152.35
0.72,1023,1023,0,152.35
0.74,1023,1023,0,152.35
0.76,1023,1023,0,152.35
0.78,1023,1023,0,152.35
0.8,1023,1023,0,152.35
0.82,1023,1023,0,152.35
0.84,1023,1023,0,152.35
0.86,1023,1023,0,152.35
0.88,1023,1023,0,152.35
0.9,1023,1023,0,152.35
0.92,1023,1023,0,152.35
0.94,1023,1023,0,152.35
0.96,1023,1023,0,152.35
0.98,1023,1023,0,152.35
1,1023,1023,0,152.35
1.02,1023,1023,0,152.35
1.04,1023,1023,0,152.35
1.06,1023,1023,0,152.35
1.08,1023,1023,0,152.35
1.1,1023,1023,0,152.35
1.12,1023,1023,0,152.35
1.14,1023,1023,0,152.35
1.16,1023,1023,0,152.35
1.18,1023,1023,0,152.35
1.2,1023,1023,0,152.35
1.22,1023,1023,0,152.35
1.24,1023,1023,0,152.35
1.26,1023,1023,0,152.35
1.28,1023,1023,0,152.35
1.3,1023,1023,0,152.35
1.32,1023,1023,0,152.35
1.34,1023,1023,0,152.35
1.36,1023,1023,0,152.35
1.38,1023,1023,0,152.35
1.4,1023,1023,0,152.35
1.42,1023,1023,0,152.35
1.44,1023,1023,0,152.35
1.46,1023,1023,0,152.35
1.48,1023,1023,0,152.35
1.5,1023,1023,0,152.35
1.52,1023,1023,0,152.35
1.54,1023,1023,0,152.35
1.56,1023,1023,0,152.35
1.58,1023,1023,0,152.35
1.6,1023,1023,0,152.35
1.62,1023,1023,0,152.35
1.64,1023,1023,0,152.35
1.66,1023,1023,0,152.35
1.68,1023,1023,0,152.35
1.7,1023,1023,0,152.35
1.72,1023,1023,0,152.35
1.74,1023,1023,0,152.35
1.76,1023,1023,0,152.35
1.78,1023,1023,0,152.35
1.8,1023,1023,0,152.35
1.82,1023,1023,0,152.35
1.84,1023,1023,0,152.35
1.86,1023,1023,0,152.35
1.88,1023,1023,0,152.35
1.9,1023,1023,0,152.35
1.92,1023,1023,0,152.35
1.94,1023,1023,0,152.35
1.96,1023,1023,0,152.35
1.98,1023,1023,0,152.35
2,1023,1023,0,152.35
2.02,1023,1023,0,152.35
2.04,1023,1023,0,152.35
2.06,1023,1023,0,152.35
2.08,1023,1023,0,152.35
2.1,1023,1023,0,152.35
2.12,1023,1023,0,152.35
2.14,1023,1023,0,152.35
2.16,1023,1023,0,152.35
2.18,1023,1023,0,152.35
2.2,1023,1023,0,152.35
2.22,1023,1023,0,152.35
2.24,1023,1023,0,152.35
2.26,1023,1023,0,152.35
2.28,1023,1023,0,152.35
2.3,1023,1023,0,152.35
2.32,1023,1023,0,152.35
2.34,1023,1023,0,152.35
2.36,1023,1023,0,152.35
2.38,1023,1023,0,152.35
2.4,1023,1023,0,152.35
2.42,1023,1023,0,152.35
2.44,1023,1023,0,152.35
2.46,1023,1023,0,152.35
2.48,1023,1023,0,152.35
2.5,1023,1023,0,152.35
2.52,1023,1023,0,152.35
2.54,1023,1023,0,152.35
2.56,1023,1023,0,152.35
2.58,1023,1023,0,152.35
2.6,1023,1023,0,152.35
2.62,1023,1023,0,152.35
2.64,1023,1023,0,152.35
2.66,1007,1023,0,152.35
2.68,958,1023,0,152.35
2.7,861,1023,0.1,152.36
2.72,751,1023,0.1,152.36
2.74,646,1023,0.1,152.36
2.76,538,1023,0.1,152.36
2.78,416,1023,0.1,152.36
2.8,328,1023,0.1,152.36
2.82,263,1023,0.1,152.36
2.84,207,1023,0.1,152.36
2.86,171,1023,0.1,152.36
2.88,136,1023,0.1,152.37
2.9,102,1023,0.1,152.37
2.92,70,1023,0.1,152.37
2.94,42,1023,0.1,152.37
2.96,21,1023,0.1,152.37
2.98,2,1023,0.1,152.37
3,0,1023,0.1,152.37
3.02,1,1023,0.1,152.37
3.04,0,1023,0.1,152.37
3.06,3,1023,0.11,152.38
